Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Hodges University,3,4,Private,Southeast,Large Suburb,0.8281,0,0,1864,23659,5132,14900,30.37999916,38391.52,27787,156,41500,36400
Hofstra University,3,4,Private,Mid-Atlantic,Large Suburb,0.5871,26,1165,6748,49604,12848,19150,20.42000008,90094.08,74751,310,50700,45900
Holy Family University,3,4,Private,Mid-Atlantic,Large City,0.7585,19,933,2018,31949,6991,22498.5,23.85000038,66036.94,58483.5,60,47800,46800
Hood College,3,4,Private,Mid-Atlantic,Small City,0.8102,22,1030,1347,45230,7078,22375,21.37000084,80494.07,72812,38,43300,40000
Hope College,3,3,Private,Great Lakes,Small City,0.7253,27,1204,3296,38593,7591,25000,19.45000076,107260.41,91493,44,41400,39700
Houghton College,3,4,Private,Mid-Atlantic,Remote Rural,0.9108,25,1113,1047,38352,4007,19000,23.07999992,70824.5,62241.5,59,39500,35800
Houston Baptist University,3,4,Private,Southwest,Large City,0.7318,24,1075,2165,36095,6504,12500,23.21999931,52507.59,34306,82,43900,41700
Howard Payne University,3,4,Private,Southwest,Remote Town,0.5382,20,953,1059,32861,5553,12275,21.94000053,57439.52,46720,69,35800,33300
Howard University,3,4,Private,Mid-Atlantic,Large City,0.493,24,1081,6855,40129,8566,24250,20.96999931,63421.37,47531,166,46400,42400
Humboldt State University,3,4,Public,Far West,Remote Town,0.8018,21,1008,7748,23113,8148,15000,22.87999916,47467.44,26935.5,373,34200,30400
Huntingdon College,3,3,Private,Southeast,Mid-size City,0.6279,22,999,1100,31433,6027,16850,22.90999985,63952.76,54275.5,43,36100,33000
Huntington University,3,4,Private,Great Lakes,Distant Town,0.9732,24,1054,1030,34764,5945,21875,21.54999924,78159.98,72496.5,28,32500,31900
Husson University,3,4,Private,New England,Small City,0.7989,19,962,2290,25019,6539,21329,22.20000076,54963.01,46670,50,38600,34600
Illinois Institute of Technology,3,4,Private,Great Lakes,Large City,0.5697,28,1252,2855,48940,11256,22015,21.44000053,69130.16,55985.5,64,70000,61700
Illinois State University,3,4,Public,Great Lakes,Mid-size Suburb,0.6892,24,1110,17667,25416,7665,18750,20.45999908,86459.94,82019,301,43000,40600
Illinois Wesleyan University,3,3,Private,Great Lakes,Small City,0.5838,28,1241,2000,48522,7853,25000,19.38999939,113545.76,103114.5,19,51100,48500
Immaculata University,3,4,Private,Mid-Atlantic,Large Suburb,0.7964,20,943,2452,45011,5130,22000,26.77000046,72962.38,62480,44,50500,47000
Indiana Institute of Technology,3,4,Private,Great Lakes,Large City,0.7225,20,934,5670,35911,6965,10250,29.15999985,54055.17,43973.5,90,41100,37600
Indiana State University,3,4,Public,Great Lakes,Small City,0.8306,19,910,10173,19549,7071,11726.5,21.93000031,60917.09,52313,311,35900,33100
Indiana University of Pennsylvania-Main Campus,3,4,Public,Mid-Atlantic,Distant Town,0.9049,20,973,12405,22936,9088,20500,20.34000015,70406.75,63430,415,37500,35300
Indiana University-Bloomington,3,4,Public,Great Lakes,Small City,0.7217,27,1198,31984,23043,9431,19500,20.26000023,92768.66,80326,531,49000,42000
Indiana University-East,3,4,Public,Great Lakes,Fringe Rural,0.5381,21,943,3132,15334,5755,13336,25.76000023,41221.38,33572,187,30700,27600
Indiana University-Kokomo,3,4,Public,Great Lakes,Small City,0.7355,21,950,2708,15874,5680,12050,25.40999985,53539.93,42220,128,36600,33900
Indiana University-Northwest,3,4,Public,Great Lakes,Small City,0.7625,20,918,4764,18092,6557,14950,25.54999924,44723.98,29342,227,36400,34100
Indiana University-Purdue University-Fort Wayne,3,4,Public,Great Lakes,Large City,0.8309,22,996,9795,18837,7355,15517,23.39999962,55513.79,45905.5,414,34800,32000
Indiana University-Purdue University-Indianapolis,3,4,Public,Great Lakes,Large City,0.6958,22,1013,21569,20846,7713,16500,23.69000053,56695.09,43017,762,43200,37400
Indiana University-South Bend,3,4,Public,Great Lakes,Mid-size City,0.7003,21,962,5538,17377,5575,14000,24,52103.27,42462,212,33100,31300
Indiana University-Southeast,3,4,Public,Great Lakes,Large Suburb,0.7945,20,950,5699,16753,6539,12500,23.54999924,51830.59,41532,162,35100,32800
Indiana Wesleyan University,3,4,Private,Great Lakes,Distant Town,0.9515,24,1083,10625,33770,6853,21500,31.17000008,69016.27,61954.5,311,51100,45100
Inter American University of Puerto Rico-Aguadilla,3,4,Private,Outlying Areas,Large Suburb,0.8642,0,0,4203,10896,4427,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Arecibo,3,4,Private,Outlying Areas,Small City,0.47,0,0,4275,12408,4242,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Barranquitas,3,4,Private,Outlying Areas,Large Suburb,0.4761,0,0,2005,11331,3980,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Bayamon,3,4,Private,Outlying Areas,Large Suburb,0.4439,0,0,4681,10413,4455,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Fajardo,3,4,Private,Outlying Areas,Small Suburb,0.7632,0,0,2159,10578,4296,7250,22.32999992,17971.97,13417.5,6252,20500,17500
